Iteration,Loop_Count,Expression Time (ns),GPU Vector Time (ns),Old Implementation Time (ns)
1,10,718298900,152604700,224902700
1,100,1080373200,802553000,886027800
1,1000,7582321000,7487498300,7363478100
2,10,695943100,152677500,219111400
2,100,1090191800,803175300,868323700
2,1000,7551719600,7306398100,7363086600
3,10,689744400,156750600,226143000
3,100,1077716500,802077200,870896700
3,1000,7540435800,7293079300,7361395700
4,10,714706900,154109000,217943400
4,100,1078141700,805548100,869578700
4,1000,7531699700,7303854800,7360577300
5,10,693430800,152766100,227183000
5,100,1083571200,803153200,872747000
5,1000,7533912900,7293645500,7367431600
6,10,690832900,154599300,218006300
6,100,1087126500,803412000,865904300
6,1000,7540172000,7278295000,7342361900
7,10,693621400,152748200,221194600
7,100,1084575900,800802700,869124400
7,1000,7528226900,7283917600,7343517200
8,10,691777100,161638700,218363400
8,100,1076340500,801886600,868581500
8,1000,7531993900,7276273000,7349182400
9,10,690738400,153592300,219326200
9,100,1077591200,808486600,865398300
9,1000,7529613200,7281101900,7350597500
10,10,700855800,152718900,225164400
10,100,1079910400,800044200,868018900
10,1000,7526602400,7279604200,7347486300
11,10,689194600,153038800,220390100
11,100,1083064900,801750500,869121600
11,1000,7581351400,7305834000,7376660300
12,10,694142800,153350500,220059800
12,100,1093985100,805836500,878743600
12,1000,7557591600,7299107400,7368187800
13,10,693782000,153042500,219916100
13,100,1101038000,800642500,871429600
13,1000,7544264600,7295695400,7365356000
14,10,697580600,153148100,222557900
14,100,1089088900,802568100,872962600
14,1000,7549834900,7290573600,7367704300
15,10,694436000,153232300,219655000
15,100,1091196900,806713700,870682700
15,1000,7548923400,7300650100,7369893100
16,10,694327700,153737000,220909600
16,100,1098385800,803022100,881245300
16,1000,7559855700,7297895600,7364933300
17,10,695388600,154459600,221186300
17,100,1096566900,806888600,872233300
17,1000,7555825900,7302268400,7366908100
18,10,695262200,153526200,221095500
18,100,1093509400,802842000,875766600
18,1000,7560833900,7305537600,7367905100
19,10,696473500,157784100,222390700
19,100,1090096500,805565900,878612100
19,1000,7552809400,7310147400,7367293000
20,10,692926900,152294000,220904200
20,100,1092781300,803141800,877604800
20,1000,7558003400,7299818400,7376296400
