Function;Loop; N;Original Reduce Time (ms);Reduce V2 Time (ms);Reduce V3 Time (ms);Reduce V4 Time (ms);Thrust Reduce Time (ms)
1;1;500000000;641;415;333;378;1431
1;1;250000000;182;204;181;186;645
1;1;125000000;90;100;92;97;356
1;1;62500000;48;49;45;49;174
1;1;31250000;25;25;23;25;83
1;1;15625000;12;13;12;13;42
1;1;7812500;7;7;6;7;22
1;1;3906250;3;4;3;3;12
1;1;1953125;1;2;1;2;6
1;1;976562;1;1;1;1;3
1;1;488281;0;0;0;1;2
1;1;244140;0;0;0;0;1
1;1;122070;0;0;0;0;1
2;1;500000000;358;387;334;389;1309
2;1;250000000;303;214;185;190;651
2;1;125000000;91;99;92;107;405
2;1;62500000;46;50;46;50;168
2;1;31250000;24;26;23;25;81
2;1;15625000;12;12;12;13;41
2;1;7812500;7;7;6;7;22
2;1;3906250;3;3;3;3;12
2;1;1953125;1;2;1;2;6
2;1;976562;1;1;1;1;4
2;1;488281;1;1;1;0;1
2;1;244140;0;1;0;0;1
2;1;122070;0;0;0;0;1
3;1;500000000;350;383;338;371;1299
3;1;250000000;179;204;181;186;639
3;1;125000000;90;100;90;103;351
3;1;62500000;49;50;46;50;168
3;1;31250000;25;26;23;25;81
3;1;15625000;13;13;12;13;41
3;1;7812500;6;7;6;7;22
3;1;3906250;4;4;4;3;12
3;1;1953125;2;2;1;2;7
3;1;976562;1;1;1;1;3
3;1;488281;1;1;1;0;1
3;1;244140;1;0;0;0;1
3;1;122070;0;0;0;0;1
